周家嘴路,内江一村（控江路451号）,45.43,4500,整租
打浦桥,瞿溪路1072弄,35.53,4300,整租
徐家汇,"南丹东路100弄,斜土路2561弄",44.2,5500,整租
北蒙三小区,黄浦区丽园路842弄,40,5800,整租
碧云,罗山路1507弄,68,5000,整租
老西门,西凌家宅新村,35,4500,整租
外高桥,夏碧路80弄,78,4500,整租
潍坊,潍坊二村1-94号,55,5000,整租
潍坊,浦东新区潍坊七村703-749号,49,5400,整租
万体馆,天钥新村1-182号,45,4200,整租
外高桥,冬融路245弄,110,5000,整租
浦东大道,六里二村,38,4000,整租
世博,"成山路608弄, 成山路544弄52支弄, 成山路648弄1-6号",59.77,4500,整租
金桥,博兴路799弄,70,5000,整租
高行,申江路985弄,84.48,4500,整租
高行,华高二村|巨峰路997弄,73.88,4500,整租
东外滩,隆昌路468弄,60,5500,整租
洋泾,浦东大道1623弄1-33号,55,4800,整租
源深,乳山路200弄,42,4500,整租
梅园,福山路40弄,32,5300,整租
